,CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Latest Happiness Year,LifeSatisfaction
27,32,Chad,Chad,Sub-Saharan Africa,146.0,34.0,49.8,28.9,13.6,13.1,44.6,92.7,96.3,28.2,54.5,74.2,52.0,60.0,40.0,14.0,60.0,45.0,13.3,15.6,16.4,26.5,-0.9,-0.7,1611.0,2.3,3.5,558.0,43.0,2019,4.251
28,33,Chile,Chile,Americas,20.0,2.0,74.4,73.0,91.4,71.4,72.4,78.1,75.3,76.2,58.0,79.4,78.0,70.0,70.0,6.0,40.0,27.0,20.7,27.0,19.1,454.7,-5.8,0.4,23366.0,11.5,3.0,8386.0,32.5,2020,6.151
29,34,China,China,Asia-Pacific,158.0,35.0,48.0,43.7,37.4,39.3,71.2,64.2,11.1,68.8,57.2,70.0,73.2,20.0,20.0,3.4,45.0,25.0,15.2,34.5,1402.1,24142.8,2.3,5.7,17192.0,5.0,2.4,149342.0,66.8,2020,5.771
30,35,Colombia,Colombia,Americas,60.0,12.0,65.1,50.9,59.1,42.0,71.3,66.0,56.7,68.8,60.7,79.3,76.4,80.0,70.0,6.8,39.0,31.0,19.7,33.7,50.9,728.8,-6.8,0.5,14324.0,15.4,2.5,7690.0,62.8,2020,5.709
31,36,Comoros,Comoros,Sub-Saharan Africa,143.0,33.0,50.4,28.9,21.2,20.1,63.0,88.5,96.2,48.3,55.5,81.5,27.0,45.0,30.0,26.5,30.0,50.0,17.4,19.5,0.9,2.7,-0.5,2.5,3048.0,8.4,1.1,9.0,26.8,2019,4.609
32,37,Democratic Republic of Congo,DemcoraticRepublicCongo,Sub-Saharan Africa,160.0,40.0,47.6,14.8,13.2,11.8,74.4,95.7,97.4,28.3,54.0,63.7,68.0,30.0,20.0,8.5,40.0,30.0,7.5,11.9,89.6,100.5,-0.1,3.3,1106.0,4.6,11.3,1647.0,15.2,2017,4.311
33,38,Republic of Congo,RepublicCongo,Sub-Saharan Africa,155.0,37.0,48.5,30.4,14.9,13.4,82.4,86.0,80.0,29.5,43.3,80.5,56.4,35.0,30.0,11.8,30.0,28.0,8.5,21.6,5.5,19.6,-7.8,-6.0,4188.0,10.3,2.4,4016.0,101.7,2019,5.213
34,39,Costa Rica,CostaRica,Americas,55.0,10.0,65.4,66.4,78.4,63.1,79.2,86.6,10.9,66.0,56.6,83.1,74.6,70.0,50.0,5.2,25.0,30.0,23.6,21.1,5.1,102.5,-4.8,1.6,19990.0,17.1,0.7,1711.0,68.3,2019,6.998
35,40,Cote d'Ivoire,CoeDivoire,Sub-Saharan Africa,76.0,4.0,61.6,45.4,30.0,33.8,79.1,89.7,73.8,61.0,55.9,71.3,73.6,75.0,50.0,8.2,36.0,25.0,13.1,18.6,26.4,144.6,2.3,6.0,5365.0,3.5,2.5,509.0,45.7,2020,5.257
36,41,Croatia,Croatia,Europe,45.0,27.0,67.6,81.1,69.9,50.0,82.8,26.3,75.2,72.4,58.7,80.5,79.2,75.0,60.0,2.9,30.0,18.0,22.2,49.6,4.0,112.1,-9.0,0.7,27717.0,7.2,0.3,1304.0,87.2,2020,6.508
38,43,Cyprus,Cyprus,Europe,23.0,16.0,72.9,85.6,90.9,62.9,80.3,44.3,71.2,74.9,66.4,83.9,79.2,75.0,60.0,2.9,35.0,12.5,24.2,43.1,1.2,35.5,-5.1,3.0,40107.0,7.2,-1.1,-3647.0,118.2,2020,6.26
39,44,Czech Republic,CzechRepublic,Europe,21.0,14.0,74.4,88.8,81.8,59.6,78.9,44.7,93.2,80.6,56.5,79.0,79.2,70.0,80.0,2.9,23.0,19.0,34.9,42.9,10.7,434.4,-5.6,1.5,40618.0,2.9,3.2,6293.0,37.6,2020,6.897
40,45,Denmark,Denmark,Europe,10.0,7.0,78.0,98.6,89.6,99.5,42.3,21.1,96.2,89.0,64.4,85.7,79.2,90.0,80.0,2.9,56.0,22.0,46.3,51.3,5.8,343.2,-3.3,1.6,58933.0,5.7,0.3,1151.0,43.4,2020,7.515
41,46,Djibouti,Djibouti,Sub-Saharan Africa,120.0,21.0,55.3,33.1,28.3,24.5,80.0,83.3,92.1,48.6,50.7,69.5,43.2,60.0,50.0,20.9,30.0,25.0,21.8,23.6,1.0,5.6,-1.0,5.4,5096.0,11.6,2.9,240.0,42.2,2011,4.369
42,48,Dominican Republic,DominicanRepublic,Americas,71.0,16.0,63.0,54.0,55.9,30.8,84.6,89.9,66.8,68.1,52.9,73.5,69.0,70.0,40.0,8.0,25.0,27.0,13.5,18.3,10.8,194.6,-6.7,3.3,18608.0,8.9,3.8,2554.0,69.4,2020,5.168
43,49,Ecuador,Ecuador,Americas,126.0,25.0,54.3,31.4,47.3,37.2,77.5,59.7,63.1,60.3,57.3,81.5,61.0,35.0,40.0,9.5,35.0,25.0,20.1,36.7,17.6,192.8,-7.5,-1.0,11009.0,6.2,-0.3,1017.0,64.6,2020,5.354
44,50,Egypt,Egypt,Middle East and North Africa,152.0,11.0,49.1,39.0,22.1,28.7,87.1,75.7,3.7,54.1,32.9,70.9,60.2,65.0,50.0,12.4,22.5,22.5,16.7,28.5,102.3,1290.2,3.6,4.6,12790.0,10.5,5.7,5852.0,90.2,2020,4.472
45,51,El Salvador,ElSalvador,Americas,90.0,18.0,59.6,43.2,46.8,36.1,77.7,74.7,50.3,65.0,54.6,76.8,69.4,60.0,60.0,7.8,30.0,30.0,20.8,29.1,6.5,54.6,-8.6,0.2,8422.0,7.0,0.2,200.0,88.2,2020,5.462
46,54,Estonia,Estonia,Europe,7.0,4.0,80.0,91.5,92.3,83.9,81.1,48.4,93.3,86.9,61.1,82.8,79.2,90.0,70.0,2.9,20.0,20.0,33.1,41.5,1.3,50.2,-2.9,3.0,37745.0,6.5,-0.6,3156.0,18.5,2020,6.453
47,156,Eswatini,Eswatini,Sub-Saharan Africa,141.0,31.0,51.4,46.1,36.9,32.1,78.6,63.9,15.6,48.9,54.8,77.9,71.8,50.0,40.0,9.1,33.0,27.5,17.2,34.7,1.2,10.1,-3.3,0.9,8957.0,23.4,3.9,41.0,47.1,2019,4.396
48,55,Ethiopia,Ethiopia,Sub-Saharan Africa,150.0,35.0,49.6,38.1,20.5,33.2,78.3,93.0,81.6,42.7,38.8,57.7,61.4,30.0,20.0,11.8,35.0,30.0,6.7,15.3,115.0,282.6,6.1,8.2,2908.0,2.8,20.4,2395.0,55.3,2020,4.549
49,57,Finland,Finland,Europe,9.0,6.0,78.3,100.0,97.8,96.4,68.4,10.7,83.2,88.7,65.1,84.9,79.2,85.0,80.0,2.9,31.25,20.0,42.2,54.6,5.5,275.5,-2.9,1.1,49853.0,7.8,0.4,2575.0,67.1,2020,7.889
50,58,France,France,Europe,52.0,31.0,65.9,93.8,85.5,75.9,52.1,0.5,39.1,81.9,58.8,79.1,79.2,75.0,70.0,2.9,45.0,26.5,45.4,57.6,67.4,2999.7,-8.2,-0.3,46062.0,8.6,0.5,17932.0,113.5,2020,6.714
51,59,Gabon,Gabon,Sub-Saharan Africa,115.0,19.0,55.8,26.8,18.6,24.4,77.4,90.2,89.5,49.9,54.0,81.5,56.8,60.0,40.0,14.1,35.0,30.0,11.5,18.1,2.2,33.7,-1.8,1.1,15970.0,20.5,1.3,1717.0,72.5,2019,4.914
52,60,Gambia,Gambia,Sub-Saharan Africa,102.0,14.0,58.0,47.6,37.2,38.1,79.3,84.1,68.9,50.5,47.3,64.1,63.8,65.0,50.0,13.1,35.0,27.0,10.8,23.0,2.4,5.5,0.0,4.0,2275.0,9.6,5.9,46.0,75.8,2019,5.164
53,61,Georgia,Georgia,Europe,26.0,18.0,71.8,63.8,56.4,64.4,89.1,72.7,67.1,74.1,61.9,76.0,86.6,80.0,70.0,1.7,20.0,15.0,22.2,30.2,3.7,55.3,-6.1,2.3,14918.0,12.1,5.2,617.0,60.6,2020,5.123
54,62,Germany,Germany,Europe,16.0,11.0,76.1,95.7,95.3,89.4,59.9,34.5,90.4,87.2,52.3,79.5,79.2,80.0,70.0,2.9,47.5,15.8,38.8,46.7,83.2,4496.8,-4.9,0.4,54076.0,4.3,0.4,35651.0,68.9,2020,7.312
55,63,Ghana,Ghana,Sub-Saharan Africa,89.0,9.0,59.8,60.7,57.0,45.4,82.8,83.8,7.8,60.9,55.4,70.8,63.0,70.0,60.0,11.0,30.0,25.0,14.1,23.2,31.1,175.2,0.9,5.0,5693.0,4.5,9.9,1877.0,78.0,2020,5.319
56,64,Greece,Greece,Europe,77.0,38.0,61.5,76.0,69.9,52.3,59.9,17.9,67.6,70.3,61.1,78.6,79.2,55.0,50.0,2.9,44.0,24.0,38.7,52.3,10.7,307.9,-8.2,-0.8,28748.0,16.9,-1.3,3572.0,213.1,2020,5.788
57,65,Guatemala,Guatemala,Americas,69.0,15.0,63.2,39.8,36.9,26.5,91.5,94.0,83.3,62.1,50.3,79.3,75.0,70.0,50.0,5.0,7.0,25.0,13.1,14.1,16.9,149.0,-1.5,2.3,8293.0,4.7,2.4,915.0,31.7,2019,6.262
58,66,Guinea,Guinea,Sub-Saharan Africa,129.0,25.0,54.2,21.4,27.8,25.6,69.3,92.8,92.0,45.4,49.5,69.7,66.4,50.0,40.0,9.3,40.0,35.0,15.6,15.5,13.1,36.4,5.2,7.6,2604.0,4.4,10.6,325.0,41.4,2019,4.768
59,68,Guyana,Guyana,Americas,91.0,19.0,59.5,46.9,47.4,41.5,67.5,74.8,67.4,63.1,67.3,83.3,69.4,55.0,30.0,5.3,33.3,40.0,23.2,29.0,0.8,15.5,43.4,12.1,19684.0,15.8,0.7,1834.0,43.9,2007,5.993
60,69,Haiti,Haiti,Americas,145.0,28.0,50.0,24.1,18.6,14.3,81.5,97.0,94.8,33.5,54.7,56.2,65.4,30.0,30.0,7.3,30.0,30.0,7.4,10.1,11.4,33.2,-3.7,0.1,2916.0,14.5,22.9,30.0,25.1,2018,3.615
61,70,Honduras,Honduras,Americas,92.0,20.0,59.5,40.3,29.0,25.4,82.7,78.7,92.1,56.9,39.1,72.7,71.6,65.0,60.0,6.7,25.0,25.0,21.9,26.6,9.9,54.2,-8.0,1.4,5450.0,9.4,3.5,419.0,48.9,2019,5.93
62,72,Hungary,Hungary,Europe,48.0,29.0,66.9,75.8,62.2,44.4,84.1,31.6,58.4,77.2,61.2,78.5,79.2,80.0,70.0,2.9,15.0,9.0,35.8,47.7,9.7,322.7,-5.0,2.3,33030.0,4.4,3.3,4169.0,81.2,2020,6.038
63,73,Iceland,Iceland,Europe,13.0,9.0,77.0,97.1,94.8,85.3,72.9,36.8,76.1,83.3,67.4,79.3,81.0,80.0,70.0,2.0,31.8,20.0,36.1,45.9,0.4,20.4,-6.6,2.2,55966.0,5.0,2.9,-811.0,79.9,2020,7.575
64,74,India,India,Asia-Pacific,131.0,27.0,53.9,49.9,51.5,42.4,79.5,76.2,4.0,63.9,58.2,70.0,71.0,40.0,40.0,7.0,30.9,32.4,6.8,28.2,1380.0,8907.1,-8.0,3.5,6461.0,7.1,6.2,64062.0,89.6,2020,4.225
65,75,Indonesia,Indonesia,Asia-Pacific,63.0,10.0,64.4,38.6,43.2,39.9,85.3,91.2,80.1,66.6,59.3,80.3,78.6,50.0,60.0,5.7,30.0,22.0,9.5,17.1,273.5,3302.4,-2.1,3.6,12222.0,4.1,2.0,18581.0,36.6,2019,5.347
66,76,Iran,Iran,Middle East and North Africa,170.0,14.0,42.4,26.6,29.4,19.8,80.8,92.5,54.7,38.9,49.4,42.3,59.2,5.0,10.0,12.9,35.0,25.0,8.4,15.8,84.0,1100.1,1.5,1.2,13073.0,11.0,36.5,1342.0,42.8,2020,4.865
68,78,Ireland,Ireland,Europe,3.0,2.0,82.0,92.6,93.0,80.7,76.5,79.9,89.0,87.2,60.9,85.2,79.2,90.0,70.0,2.9,41.0,12.5,22.7,25.9,5.0,471.4,2.5,5.8,94392.0,5.9,-0.5,33424.0,59.8,2020,7.035
69,79,Israel,Israel,Middle East and North Africa,43.0,2.0,68.0,83.2,85.0,65.2,60.4,48.4,23.1,81.1,56.5,84.8,78.8,80.0,70.0,3.1,50.0,23.0,30.5,41.5,9.2,373.7,-2.4,2.4,40547.0,4.6,-0.6,24758.0,73.0,2020,7.195
70,80,Italy,Italy,Europe,57.0,33.0,65.4,81.7,78.6,57.3,57.7,20.6,49.0,73.8,70.4,86.2,79.2,80.0,50.0,2.9,43.0,24.0,42.5,51.4,59.6,2461.7,-8.9,-0.9,40861.0,9.3,-0.1,-388.0,155.6,2020,6.488
71,81,Jamaica,Jamaica,Americas,46.0,7.0,67.4,65.0,70.6,49.0,76.6,71.6,79.4,56.5,64.7,76.2,69.2,80.0,50.0,10.4,30.0,25.0,28.6,30.8,3.0,27.3,-10.2,-1.0,9975.0,8.4,5.2,366.0,105.6,2019,6.309
72,82,Japan,Japan,Asia-Pacific,35.0,6.0,69.9,94.6,95.3,81.4,67.4,52.5,19.7,78.3,66.6,87.1,75.4,60.0,60.0,2.3,40.8,23.9,32.0,39.8,125.8,5313.0,-4.8,-0.3,42248.0,3.0,0.0,10254.0,256.2,2020,6.118
73,83,Jordan,Jordan,Middle East and North Africa,87.0,5.0,60.1,53.7,42.6,49.5,84.8,71.6,15.9,59.6,57.2,84.2,71.8,70.0,60.0,9.1,30.0,20.0,14.8,30.8,10.2,105.2,-2.0,1.2,10306.0,18.5,0.4,726.0,88.5,2020,4.094
74,84,Kazakhstan,Kazakhstan,Asia-Pacific,64.0,11.0,64.4,55.3,34.5,37.9,92.7,86.5,93.5,64.7,62.7,69.1,75.4,50.0,50.0,4.8,10.0,20.0,15.1,21.2,18.8,501.3,-2.6,2.2,26565.0,6.1,6.8,3877.0,27.4,2020,6.168
75,85,Kenya,Kenya,Sub-Saharan Africa,138.0,28.0,52.6,40.6,39.0,30.9,79.0,82.2,10.6,56.1,56.8,75.5,56.0,55.0,50.0,12.0,30.0,30.0,17.4,24.4,53.8,239.8,-0.1,4.4,4926.0,3.0,5.3,717.0,68.7,2020,4.547
76,88,South Korea,SouthKorea,Asia-Pacific,19.0,5.0,74.6,90.5,77.1,69.2,60.4,84.5,95.3,84.8,55.6,85.2,73.0,60.0,60.0,8.5,49.5,27.5,27.4,22.7,51.8,2310.4,-1.0,2.0,44621.0,4.1,0.5,9224.0,48.7,2020,5.793
78,89,Kuwait,Kuwait,Middle East and North Africa,101.0,7.0,58.3,41.9,42.0,43.8,97.7,4.0,99.7,55.4,52.7,71.7,75.6,55.0,60.0,4.7,0.0,15.0,1.4,56.6,4.3,203.3,-8.1,-1.6,41627.0,6.8,2.1,-319.0,11.5,2019,6.106
79,90,Kyrgyzstan,KyrgyzRepublic,Asia-Pacific,116.0,24.0,55.8,25.1,11.8,28.8,94.8,66.7,79.0,56.1,52.2,71.4,73.2,60.0,50.0,5.9,10.0,10.0,17.9,33.3,6.6,32.8,-8.0,1.8,5036.0,7.9,6.3,-331.0,74.3,2020,6.25
80,91,Laos,Laos,Asia-Pacific,151.0,33.0,49.2,41.1,11.1,20.4,87.2,88.4,44.0,60.5,44.3,71.8,66.8,35.0,20.0,9.1,24.0,24.0,11.4,19.7,7.3,58.9,-0.4,4.9,8111.0,1.0,5.1,968.0,68.0,2020,5.284
81,92,Latvia,Latvia,Europe,18.0,13.0,74.8,88.5,75.1,61.1,76.4,53.2,91.4,81.9,62.4,83.8,79.2,85.0,60.0,2.9,31.4,20.0,31.2,39.5,1.9,60.1,-3.6,1.6,31509.0,8.2,0.1,873.0,45.5,2020,6.229
82,93,Lebanon,Lebanon,Middle East and North Africa,162.0,12.0,47.3,33.7,27.4,22.8,88.5,77.4,0.0,48.8,54.2,41.1,74.2,50.0,50.0,5.4,25.0,17.0,15.3,27.4,6.8,78.9,-25.0,-6.2,11564.0,6.6,88.2,3067.0,154.4,2019,4.024
83,94,Lesotho,Lesotho,Sub-Saharan Africa,157.0,38.0,48.1,45.0,44.1,42.8,77.4,4.5,27.5,44.2,58.3,75.9,62.2,55.0,40.0,11.4,35.0,25.0,20.2,56.4,2.1,5.6,-4.5,-1.1,2718.0,24.7,4.9,102.0,50.3,2019,3.512
84,95,Liberia,Liberia,Sub-Saharan Africa,159.0,39.0,47.9,32.2,23.4,25.1,86.1,68.0,64.6,34.8,43.2,61.7,60.8,55.0,20.0,12.1,25.0,25.0,12.0,32.7,5.1,7.3,-3.0,-0.7,1557.0,3.3,17.0,87.0,61.8,2019,5.121
86,98,Lithuania,Lithuania,Europe,17.0,12.0,75.8,88.6,74.6,66.6,84.544844,59.9,86.5,87.3,59.5,82.3,79.2,70.0,70.0,2.9,20.0,15.0,30.3,36.6,2.8,108.6,-0.8,2.9,38824.0,8.4,1.1,479.0,47.0,2020,6.391
87,99,Luxembourg,Luxembourg,Europe,5.0,3.0,80.6,97.4,96.4,89.5,64.1,41.5,98.7,89.3,56.3,80.1,79.2,95.0,80.0,2.9,42.0,17.0,39.2,44.1,0.6,73.9,-1.3,2.1,118002.0,6.7,0.0,62145.0,25.5,2019,7.404
88,101,North Macedonia,Macedonia,Europe,53.0,32.0,65.7,57.4,50.2,38.7,95.0,67.7,69.8,74.4,54.1,78.3,77.8,65.0,60.0,6.1,10.0,10.0,17.2,32.8,2.1,34.7,-4.5,1.1,16712.0,18.4,1.2,274.0,51.3,2020,5.054
89,102,Madagascar,Madagascar,Sub-Saharan Africa,98.0,12.0,58.9,40.3,33.4,23.0,90.7,92.9,87.8,37.4,56.0,75.9,64.8,55.0,50.0,10.1,20.0,20.0,11.4,15.4,27.7,44.1,-4.2,2.3,1599.0,1.9,4.2,359.0,43.6,2019,4.339
90,103,Malawi,Malawi,Sub-Saharan Africa,134.0,26.0,53.0,48.1,53.0,29.4,78.7,87.4,11.0,34.0,56.4,71.1,67.4,50.0,50.0,8.8,30.0,30.0,18.3,20.5,19.1,20.7,0.6,2.9,993.0,6.0,8.6,98.0,67.3,2019,3.869
91,104,Malaysia,Malaysia,Asia-Pacific,42.0,8.0,68.1,65.6,57.6,53.9,83.8,82.9,73.4,67.1,57.0,83.6,82.2,60.0,50.0,3.9,30.0,24.0,12.0,23.9,32.4,902.6,-5.6,2.7,27402.0,4.6,-1.1,3483.0,67.5,2019,5.428
92,105,Maldives,Maldives,Asia-Pacific,161.0,36.0,47.3,47.2,32.1,43.1,96.9,55.2,0.0,39.8,51.6,77.2,60.0,35.0,30.0,12.5,0.0,0.0,17.5,38.6,0.5,7.4,-32.2,-0.7,19609.0,7.2,-1.6,348.0,142.6,2018,5.198
93,106,Mali,Mali,Sub-Saharan Africa,114.0,18.0,55.9,34.0,34.1,28.3,69.8,83.9,70.8,44.2,54.2,82.8,64.0,65.0,40.0,10.5,40.0,35.0,14.1,23.2,20.3,47.2,-2.0,3.7,2401.0,7.5,0.6,308.0,44.2,2019,4.988
94,107,Malta,Malta,Europe,27.0,19.0,71.5,87.8,89.9,55.8,69.0,54.6,86.2,75.5,61.8,78.5,79.2,70.0,50.0,2.9,35.0,35.0,25.5,38.9,0.5,22.1,-7.0,3.2,42856.0,4.1,0.8,3917.0,55.4,2020,6.157
95,108,Mauritania,Mauritania,Sub-Saharan Africa,119.0,20.0,55.3,36.9,29.9,23.5,75.2,89.4,92.9,35.7,48.9,80.3,60.6,50.0,40.0,9.7,40.0,25.0,16.0,18.8,4.6,24.2,-2.2,2.1,5834.0,10.7,2.3,978.0,59.5,2019,4.153
96,109,Mauritius,Mauritius,Sub-Saharan Africa,30.0,1.0,70.9,85.6,81.7,56.5,91.3,73.4,6.8,72.0,69.8,75.9,87.4,80.0,70.0,1.3,15.0,15.0,20.4,29.8,1.3,25.7,-15.8,-0.3,20292.0,7.1,2.5,246.0,87.8,2020,6.015
97,110,Mexico,Mexico,Americas,67.0,14.0,63.7,47.7,40.7,32.0,76.0,78.3,78.0,69.2,58.4,73.0,76.6,75.0,60.0,4.2,35.0,30.0,16.5,26.9,128.9,2444.7,-8.2,-0.3,19130.0,4.7,3.4,29079.0,60.6,2020,5.964
98,112,Moldova,Moldova,Europe,78.0,39.0,61.3,55.9,30.7,34.7,94.1,68.1,87.2,64.2,46.4,72.4,76.6,55.0,50.0,4.2,12.0,12.0,17.3,32.6,2.6,33.7,-7.5,1.8,12811.0,4.7,3.8,55.0,35.3,2020,5.812
99,113,Mongolia,Mongolia,Asia-Pacific,66.0,12.0,63.9,48.8,57.1,37.0,89.2,68.2,81.9,66.5,67.5,76.0,74.4,50.0,50.0,5.3,10.0,25.0,18.7,32.6,3.3,39.7,-5.3,2.7,11825.0,4.3,3.7,1719.0,76.6,2020,6.011
